,A00200,A00300,A00600,A00650,A00900,A02300,A03240,A01400,A03270,A03210,A07180
2,0.912105389822653,0.32730212883331966,1.3185307223296296,1.3031450532111906,0.8201283392567481,3.9526063491347565,2.8660521627751425,2.236711817043885,0.20433028386907942,1.4389197698201843,0.2096151358850948
1,0.6982436618507453,0.3705927163196992,1.7057727071666735,1.6181701583791088,0.625099927216271,1.7074739359225821,1.6694470178261944,0.3514494425347516,0.1459028228388288,0.8935287585453973,0.24904119631176572
5,0.7458719792191864,0.29671611663078074,3.7555508167162515,4.598828003816839,0.7581550542051182,1.904524525042665,7.386587061265919,0.6049039279855555,0.11978334406221963,1.020144570681452,0.19812672247074944
4,0.7452938395127654,0.4166777879924827,1.5446121849345442,1.4308094763914314,0.6938804477645863,1.2722270432492933,4.679504795240367,1.1965692291771204,0.13172078011066624,0.9143306306894954,0.1703455365271681
6,0.8377118933965503,0.5717969050841044,2.0295105776388827,2.0230323486597728,0.7411314197999088,1.965382037436767,3.1531394245850524,0.8284108064250142,0.21126947738414417,0.9210358560530956,0.18647801186439608
8,0.7133280581868026,0.42430431470582053,1.6561665229134177,1.7016622910482757,0.9239522218317638,0.8955643684830834,3.51221022334668,0.9211483291320575,0.24296827267695836,1.765513518097467,0.1493856185915694
9,1.0157677749962122,0.7942257861577567,2.346043010483263,2.4560531653377855,1.736254359137755,2.0995159694848353,0.9757046726634405,0.9373128811069373,0.22781324373924652,1.6500405765910144,0.2020727168301266
11,0.6490066288052175,0.31098168399839743,1.534654243867529,1.6468626713459018,0.9688173447040902,1.5147791245011768,1.6135690097561088,0.9884596786009502,0.1593297413896403,1.5159277881814341,0.1968543411493264
10,0.7568183170305522,0.3078416888213945,2.66270834979254,3.1578208718869356,1.0623434104602119,2.445835195140591,7.079802139241172,0.9729785056912849,0.12756397214060147,1.4787637341281599,0.2599216013372571
12,0.7486548723911711,0.7564963560611468,2.5505181165277184,2.430698370169854,0.7714860796881291,1.0945690552989218,6.281817196513451,0.9286746408245998,0.15656024269224103,1.0127441964369133,0.27258608836515447
13,0.741793755816818,0.31111134527424533,1.8839136930367573,2.26060604704823,0.6570687519615446,1.526342884990522,4.513695392755236,0.7555825232231272,0.1328531205535866,1.2178973082143618,0.2638003124106632
15,0.7509747712909335,0.3394905939876059,1.3325362999040002,1.1930036846736114,1.0403218193167043,1.1947096184712354,3.634949917426021,1.1531737867065388,0.17168302819390516,1.6532375874762828,0.226189982494195
19,0.7994736409658878,0.5374508195497623,1.162195100748736,1.1203800945189877,0.9086579115301218,1.6099817766034734,16.609456269551725,0.8124652231402617,0.2477627030643176,2.3345896825331685,0.25925063345541466
16,0.6665796179720094,0.4112602487970314,1.1912408811087494,1.3374579658490062,0.6667306753496923,1.2352742198063293,10.083676992665104,1.1350370986459104,0.1531321157985921,1.4988251853029841,0.16786583369124722
17,0.8273141787301802,0.5000455832027263,1.8336827064856909,1.6327249432592854,0.955577815565204,1.1646574073718075,3.995443335660043,1.0298650714206936,0.18703730426689014,1.4591922740925611,0.22226443607223179
18,0.7899453840884681,0.275215725085042,1.500088952397432,1.5722626591874593,0.8934532529312935,2.184329632608351,14.487117471700802,0.587217001495141,0.15242799046276745,1.7348122392709482,0.21369913709975635
20,0.8632368909598601,0.4402431164795809,1.624665780054281,1.728998896450289,0.41663575555529236,4.375821029664318,9.421314139191656,0.6851366744542166,0.2683468748781702,1.3726941898985687,0.24339249402886365
21,0.755171372803457,0.22197699544247423,1.2701319288152617,1.2927615782043183,0.7121112226064219,1.3396984752314192,11.88552701811515,0.3946300717998038,0.124122457164852,1.0895203247857974,0.23109620896094493
22,0.8868117931904833,0.3824901926732397,2.303087435438393,2.2846551997943565,0.8366686613189122,1.141058653212746,5.6570971133357375,0.6553779632021609,0.1686091314435256,1.3787478797113433,0.2664443557986109
25,0.8563125661985674,0.5300440194448861,2.9694983962725994,2.9195689314543096,1.0453326987994085,1.6633828799627266,1.788248040020475,1.0707238316196797,0.188715402091308,1.8699527938828393,0.2081963954772221
24,0.818885734191407,0.23292756927602964,1.3007013795219227,1.2817273364532438,0.7651988075641545,1.7990032062963603,2.351320513474013,1.2278844856589728,0.14877377561788288,1.3313639988677617,0.3024840412643062
23,0.8417644966813739,0.4022675447418452,2.5594515079073155,2.2333737835935157,0.4491631296117405,1.6278306702816931,16.678129799031833,0.8978447117661865,0.19931393363071562,3.931491799312521,0.31020888232082544
26,0.7690001588358335,0.3066253644286471,1.2355430878593054,1.2252821018024787,1.1631474049310264,1.2351297114401918,18.698909725102368,0.6266104332513278,0.12453386854541908,1.5505752133711357,0.15940946680373574
27,0.8364374920594855,0.3722211784576517,1.5799172048351564,1.9839650388090064,0.8385237850046715,1.1188929185612178,14.411704472084141,1.1159882952875346,0.25948248472551005,1.9028906428994576,0.25849303276066865
29,0.7773419606482931,0.3488119467186587,1.216838514549505,1.3888728510490898,0.6719681915519823,1.3714096571469747,3.550836986526516,0.7557781798815432,0.21720598675393615,1.496161962050029,0.22465419866099756
28,0.8520468122742111,0.26496987664366795,1.1782507509745228,1.2442631864598168,0.815434981321601,1.9875120829412183,6.47390665431227,0.47624406153811827,0.13768135864278727,0.9239227499723249,0.3406508558962194
30,0.7563562957333834,0.48759167440435014,1.2889653384472832,1.283037859130218,0.6373416288836978,1.611385338400105,14.435781518204195,0.7313803238507938,0.31212720873199695,1.204135418212221,0.18786888632001048
37,0.7427404834702923,0.3168246518754493,1.3777975788033168,1.304275117425004,0.5781908712586585,1.7964581745306774,2.4301716357469396,0.6675869164236857,0.19310946592290473,1.1780032514449938,0.21715661337729314
38,0.9262214296634256,0.6196451252837742,1.097241534512028,1.0532185385089992,0.6397200377278022,0.986032061393264,25.131780292778256,0.9744626280657485,0.3710050264901292,1.7587752749027963,0.3261875101056846
31,0.8304738165294387,0.44390038646838936,1.2634852755790047,1.2433389249857507,0.4798879766933357,0.7985621002223963,3.414629283255643,0.5766199588391172,0.30518500495699646,1.6397045630736005,0.2773191765591592
33,0.8623970799147409,0.42477331573590105,1.5567188513159422,1.4512168249771595,0.8402929285824757,1.245606119325744,3.7227150734784593,1.3077976150860862,0.2356513425883648,1.6888773877639705,0.2330723855662286
34,0.9639398203961554,0.5032421275718799,1.6795986435931085,1.7195385473711806,1.120897288129255,1.8521156896785669,2.087350948656662,1.4282038638402481,0.25174082304802853,1.4674495572946455,0.3019932437048564
35,0.8184701860776779,0.35590686280345796,1.3053988869199167,1.4991840555124831,0.878350692406534,1.2915696396438934,5.56317048373395,1.05965474505746,0.12420640701172084,1.2172855490403156,0.13094719144550332
32,0.8123476126850188,0.899804178616126,6.525826659961095,7.8088281337844565,0.3396985341453357,2.622539016034419,1.51202671877445,0.6217205389556348,0.11706102740858955,1.3067597507754058,0.20316166864412483
36,0.8612512763828184,0.9391672682993251,2.693565769668241,2.4787005248751877,0.8828827545979911,1.2438165538997348,4.46113957871228,0.7300799625469127,0.17330081381911175,1.3516291835291485,0.24505628926798742
39,0.7940788355500298,0.24512172420532521,1.7774581295564669,1.8959207286824946,0.9314744666202093,1.3385552597880772,16.522187915768242,0.6980260034378725,0.13617507392311623,1.4878736257424183,0.15434845362705038
40,0.8581579773020421,0.4462917132494496,1.1455873575359556,1.125129853349036,0.36242394428794833,0.5942073545082578,1.9807500257027446,0.46785070868299916,0.16754636121499497,1.0149688569818176,0.20452718442405585
